track_name,track_id,Danceability,Energy,Acousticness,Valence,Key
It Will Rain,4rMNgxEwGWoPHIUcvB5BrB,0.574,0.824,0.359,0.443,2.0
One Dance,11hqMWwX7sF3sOGdtijofF,0.776,0.624,0.00849,0.349,1.0
Everyday - Netsky Remix,3xcv3R9LGJkprp0EOQvdNt,0.327,0.933,0.000346,0.102,2.0
Someone Like You,4kflIGfjdZJW4ot2ioixTB,0.559,0.33,0.892,0.28,9.0
Magic,500h8jAdr7LvzzXlm1qxtK,0.394,0.589,0.346,0.735,9.0
Just Can’t Get Enough,3JA9Jsuxr4xgHXEawAdCp4,0.483,0.648,0.187,0.238,0.0
My Eyes,4gMIZhJUOCjmQxo1fwhhnK,0.376,0.954,0.000129,0.034,1.0
Keep Moving - Original Mix,34SeXRsXqAQPMCW9X1Gdzs,0.585,0.89,0.00717,0.427,5.0
Battle Scars,0gAvViUcru8Qsl40BS4SvH,0.517,0.811,0.186,0.497,5.0
Act Like You Know - Dubstep Mix,7wNtcpvxS7xU1apfK46bSD,0.564,0.895,0.00473,0.157,11.0
Candyman,0NWQTyapmz4GuDTSN9xTB7,0.573,0.875,0.0232,0.24,2.0
Pretty Girls (feat. Travie McCoy),3Ju48PMNQkAGxjJCbWcfeM,0.647,0.749,0.0386,0.659,8.0
Love Somebody,0HnaqUxvHP5LaWdmWwJpiS,0.675,0.764,0.142,0.477,1.0
Faces,6CLuXOJNHuLVAbhUP5XWFM,0.546,0.804,0.00183,0.38,1.0
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,0.217,0.905,0.000289,0.225,2.0
Keep You Much Longer,1kiAXXEYooMvsFWyYaDhof,0.713,0.945,0.148,0.568,0.0
Killer,2LYAG9jlH9rul11nalRxR0,0.644,0.84,0.153,0.937,0.0
Journey's End,4jIzCryeLdBgE671gdQ6QD,0.628,0.744,0.0817,0.215,11.0
Rhythm Of Love,6MDTpYxPFL0wtFd0pjfKws,0.531,0.542,0.356,0.73,8.0
Light Up the Sky (feat. Dani Ummel),7lLChLp64BrRm40WATYPrE,0.607,0.845,0.000634,0.375,5.0
Yeah!,5rb9QrpfcKFHM1EUbSIurX,0.894,0.791,0.0183,0.594,2.0
Count On Me,5XmKJXidSzQC2aUk35oLyt,0.675,0.902,0.12,0.592,7.0
Secrets - Radio Edit,6eE5LWw0DpIbTOdKwDUoE8,0.662,0.81,0.00127,0.21,11.0
Make It Bun Dem,6AbVJjzv7thIvmMCuhZrmK,0.556,0.881,0.00119,0.336,7.0
GString,3p1vmXEMvcESM36eFG8dUU,0.569,0.891,0.0804,0.307,5.0
Awake and Alive,0nkzd3yNniB767zSDDdLZ3,0.434,0.939,0.0425,0.565,4.0
Freeway - Flux Pavilion and Kill The Noise Remix,2bdR4MKUcVfaZtu6Kv7BXt,0.573,0.746,0.0718,0.156,7.0
Comin’ In Hot,37dtTlCf5Zwspc1zyDq5Xg,0.714,0.746,0.0211,0.437,2.0
Strangers,2U0pVx4m1Kdm1Gsjjm6iq8,0.577,0.691,0.0134,0.489,0.0
Heroes (we could be),0YzCQcsgj6KqwBHVx1mZrH,0.509,0.752,0.0334,0.355,5.0
Shotgun,2LGfcxG9LcDOxnltIPE1Zq,0.664,0.907,0.0129,0.231,4.0
Just The Way You Are,24lMtPOCzP5g4hrg3NklLa,0.637,0.843,0.0151,0.441,5.0
Fortune Days,5VWVVSABdgccboSdrKGiZH,0.598,0.67,0.383,0.188,1.0
Puzzles - Radio Edit,1sZnQFDHBNr3BRa89NnKo9,0.569,0.844,0.0189,0.256,4.0
Got 2 Know,2JPxMMWWLPz50bLqdfxgjg,0.659,0.757,0.0111,0.487,7.0
It's Time - Original Mix,0hAR6VcN5P1klbHiZmDMJc,0.744,0.806,0.00774,0.468,5.0
Wing$,5n5uyFpfopa4mNdSN0gTaH,0.4,0.602,0.353,0.0983,7.0
In My Head,0TyOpxlWwDx98bjkIVHUgY,0.762,0.748,0.0266,0.837,0.0
Days to Come,0v945WRZhamHsBBqbpW4LH,0.467,0.723,0.117,0.208,0.0
Bangladesh,3VAQszqfFMuR7jJSpfwPsN,0.525,0.929,0.00543,0.231,1.0
2012 (It Ain't The End),1ERCOXHQcoLSTlgmNTlcrR,0.718,0.801,0.226,0.546,0.0
Vision,5LovPZMS579wYfjuapGGHz,0.703,0.892,0.00305,0.227,5.0
Mockingbird,73xxwkPv3hR2v2Z3Yq8bM0,0.63,0.671,0.211,0.225,4.0
Hall of Fame,1X1DWw2pcNZ8zSub3uhlNz,0.421,0.873,0.0653,0.639,10.0
Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix,2hr7myxuDCoXsKyVfh4ue0,0.568,0.889,0.0348,0.201,2.0
Iris,6vrUTGn5p8IrfTZ0J6sIVM,0.291,0.79,0.00133,0.493,11.0
Lightning (feat. John Rzeznik),2n2lLRax8VZpqysfKGHKZy,0.51,0.785,0.0284,0.159,7.0
